keyword,search_volume,competition,difficulty,intent,category,notes
"landlord tax return",2400,high,42,informational,Landlord tax,Core high-volume query
"section 24 calculator",1900,high,48,transactional,Section 24 & Tax Relief,High commercial intent
"landlord tax deductions uk",1600,medium,38,informational,Landlord tax,Broad informational
"buy to let limited company",1400,high,52,informational,Incorporation & Company Structures,High-value conversion topic
"capital gains tax property",3200,high,55,informational,Capital Gains Tax,Very high volume competitive
"section 24 tax relief",1100,medium,45,informational,Section 24 & Tax Relief,Core topic
"landlord incorporation",880,medium,41,informational,Incorporation & Company Structures,Conversion-focused
"making tax digital landlords",720,medium,39,informational,Making Tax Digital (MTD),Compliance-driven
"rental income tax calculator",1500,high,44,transactional,Landlord tax,Calculator intent
"landlord expenses allowable",1300,medium,36,informational,Landlord tax,Practical guide
"section 24 basic rate taxpayer",420,low,28,informational,Section 24 & Tax Relief,Specific audience
"property capital gains tax calculator",890,medium,47,transactional,Capital Gains Tax,Calculator intent
"landlord tax return deadline",950,low,32,informational,Landlord tax,Seasonal/timely
"buy to let mortgage limited company",760,high,49,informational,Incorporation & Company Structures,Financial product
"mtd software landlords",580,medium,43,transactional,Making Tax Digital (MTD),Software comparison
"landlord tax accountant",1200,medium,40,transactional,Landlord tax,Service-seeking
"property company vs personal ownership",650,medium,44,informational,Incorporation & Company Structures,Comparison guide
"section 24 phased approach",290,low,25,informational,Section 24 & Tax Relief,Implementation strategy
"capital gains tax property disposal",720,medium,46,informational,Capital Gains Tax,Action-specific
"landlord vat registration",480,low,34,informational,Portfolio Management,Compliance topic
"rental yield calculator",1800,medium,41,transactional,Portfolio Management,Investment analysis
"property portfolio accounting",390,low,37,informational,Portfolio Management,Advanced topic
"furnished holiday let tax",640,medium,43,informational,Section 24 & Tax Relief,Specific property type
"stamp duty buy to let",2100,high,51,informational,Capital Gains Tax,High-volume tax topic
"landlord insurance tax deductible",520,low,31,informational,Portfolio Management,Specific deduction
"hmo landlord tax",440,low,36,informational,Portfolio Management,Property type specific
"property investment tax uk",1100,medium,45,informational,Section 24 & Tax Relief,Broad investment topic
"principal private residence relief",580,medium,44,informational,Capital Gains Tax,Specific relief
"landlord cash flow management",310,low,29,informational,Portfolio Management,Financial management
"buy to let refinancing tax",270,low,33,informational,Portfolio Management,Financial strategy
"cgt property transfer spouse",420,low,35,informational,Capital Gains Tax,Specific scenario
"property disposal tax planning",340,low,40,informational,Capital Gains Tax,Planning topic
"residential property developer tax",260,low,38,informational,Capital Gains Tax,Developer-specific
"property company dividend tax",380,medium,42,informational,Incorporation & Company Structures,Company structure tax
"landlord accounting software uk",890,medium,39,transactional,Portfolio Management,Software comparison
"property business rates council tax",240,low,30,informational,Portfolio Management,Rates comparison
"section 24 relief claim",350,low,32,informational,Section 24 & Tax Relief,How-to guide
"cgt payment deadline property",410,low,33,informational,Capital Gains Tax,Deadline/compliance
"property management accounts",320,low,35,informational,Portfolio Management,Accounting system
"property accountant vs general accountant",180,low,27,informational,Portfolio Management,Service comparison
"buy to let limited company mortgage",760,high,49,informational,Incorporation & Company Structures,Duplicate - merge with earlier
"landlord tax planning strategies",580,medium,41,informational,Landlord tax,Strategic planning
"rental property tax deductions",1400,high,43,informational,Landlord tax,US-leaning but UK relevant
"property investment company structure",490,medium,46,informational,Incorporation & Company Structures,Structure planning
"landlord capital allowances",440,low,37,informational,Landlord tax,Specific relief
"property portfolio tax efficiency",290,low,39,informational,Portfolio Management,Advanced optimization
"section 24 mortgage interest relief",580,medium,44,informational,Section 24 & Tax Relief,Specific relief detail
"landlord tax return self assessment",1100,medium,40,informational,Landlord tax,Process guide
"property company tax advantages",520,medium,43,informational,Incorporation & Company Structures,Benefits-focused
"rental income reporting hmrc",670,medium,38,informational,Landlord tax,Compliance guide
"landlord tax bands 2026",480,low,34,informational,Landlord tax,Tax year specific
"property capital gains exemptions",390,low,41,informational,Capital Gains Tax,Relief-focused
