query,bucket,cluster,page,volume,gsc_impressions,gsc_clicks,bing_impressions,bing_clicks
"""cgt"" selling house",already-covered,,,0,0,0,1,0
+how many days does capital gains return need to be sent in,already-covered,,,0,0,0,2,0
18% cgt,already-covered,,,0,0,0,2,0
18%/24% capital gains tax uk,already-covered,,,0,0,0,1,0
1st residential property and 2nd residential property cgt rates change,already-covered,,,0,0,0,14,0
2 people own commercial property do they both recieve 3000 allowance capital gains,already-covered,,,0,0,0,1,0
2-26/27 cgt rate uk,already-covered,,,0,0,0,2,0
2024/25 cgt rates,gap-no-page,,,70,0,0,0,0
2026 capital gains tax return pages,already-covered,,,0,0,0,1,0
2026 cgt allowance,already-covered,,,0,0,0,1,0
2026 cgt rate on property in estate,already-covered,,,0,0,0,2,1
2026 cgt residential property return form,already-covered,,,0,0,0,3,0
2026 short -term capital gains rates,already-covered,,,0,0,0,1,0
2026 uk capital gains tax for non uk resident selling uk house,already-covered,,,0,0,0,1,0
2026-27 cgt  uk residential proeprty,already-covered,,,0,0,0,1,0
2026-27 cgt rates on property,already-covered,,,0,0,0,2,0
2026/2027 capital gain tax annual exemption,already-covered,,,0,0,0,2,0
2026/2027 cgt annual exemption,already-covered,,,0,0,0,2,0
2026/27 capital gains exemption limit hmrc,already-covered,,,0,0,0,1,0
2026/27 capital gains rates on residential,already-covered,,,0,0,0,2,0
2026/27 cgt annual exemption,already-covered,,,0,0,0,2,0
2026/27 cgt on rental property,already-covered,,,0,0,0,4,1
2026/27 cgt rates,already-covered,,,0,0,0,22,0
2026/27 cgt rates land,already-covered,,,0,0,0,1,1
2026/27 cgt rates on land,already-covered,,,0,0,0,1,0
2026/27 cgt rates on the sale of residential properties,already-covered,,,0,0,0,1,0
2026/27 tax rate cgt,already-covered,,,0,0,0,3,0
202627 tax rates uk cgt residential property,already-covered,,,0,0,0,2,0
"2027 cgt tax when selling two buy to let properties in one year with profit of  over £200,000",already-covered,,,0,0,0,1,0
24% cgt when,already-covered,,,0,0,0,2,0
25% capital gains tax on rental,already-covered,,,0,0,0,1,1
26/27 cgt rates,already-covered,,,0,0,0,2,0
26/27 cgt rates for residential property,already-covered,,,0,0,0,1,0
3000 capital gains tax allowance,already-covered,,,0,0,0,1,0
36 month rule capital gains tax uk,assigned,cgt letting relief,/blog/capital-gains-tax/letting-relief-landlords-2026-changes,90,0,0,0,0
