priority,cluster,slug,primary_keyword,intent,secondary_keywords,target_word_count,dental_anchor_terms,risk_tier,aff_overlap_risk
1,sra-compliance,sra-accounts-rules-explained-for-uk-solicitors,sra accounts rules,informational,"sra rules 2019,client account rules,accountants report",1900,"sra,solicitors,client account",low,none
1,sra-compliance,sra-accountants-report-exemption-thresholds,sra accountants report exemption,informational,"client money exemption,accountants report exemption,de minimis",1700,"sra,client account,solicitor",low,none
1,sra-compliance,when-is-an-sra-accountants-report-required,sra accountants report required,how-to,"sra report deadline,client money report,accountant requirements",1700,"sra,solicitor,client money",low,none
1,sra-compliance,how-to-prepare-for-sra-accountants-report,prepare sra accountants report,how-to,"sra report preparation,reconciliation checklist,sar evidence",1800,"sra,solicitor,client account",low,none
1,sra-compliance,sra-client-account-reconciliation-frequency,sra client account reconciliation,informational,"five weekly reconciliation,sar rule 8,client account checking",1600,"sra,client account,solicitor",low,none
1,sra-compliance,handling-client-money-interest-sra-rules,client money interest sra,informational,"fair interest policy,client money,sra rule 7",1700,"sra,client money,solicitor",low,none
1,sra-compliance,what-counts-as-client-money-uk-solicitors,what is client money solicitor,informational,"client money definition,sar scope,money held to order",1700,"client money,solicitor,sra",low,none
1,sra-compliance,office-account-vs-client-account-differences,office account vs client account,comparison,"sra accounts,client vs office money,bank account split",1500,"sra,client account,office account",low,none
1,sra-compliance,sra-breach-notification-when-and-how,sra breach notification,how-to,"breach reporting,sra notice,material breach",1700,"sra,solicitor,compliance",low,none
1,sra-compliance,common-sra-accounts-rules-breaches-and-how-to-fix,common sra breaches,informational,"breach examples,reconciliation errors,common mistakes",1800,"sra,solicitor,client account",low,none
1,sra-compliance,colp-and-cofa-roles-explained-uk-law-firms,colp cofa roles,informational,"compliance officer,colp cofa duties,firm compliance",1700,"colp,cofa,solicitor",low,none
1,sra-compliance,cofa-responsibilities-uk-law-firms,cofa responsibilities,informational,"finance compliance officer,sra accounts,cofa duties",1700,"cofa,solicitor,sra",low,none
1,sra-compliance,sra-supervision-and-aml-compliance-law-firms,sra aml compliance,informational,"money laundering regulations,aml supervision,sra aml",1700,"sra,solicitor,money laundering",low,none
1,sra-compliance,solicitors-aml-risk-assessment-template-guide,solicitor aml risk assessment,how-to,"firm-wide risk,client risk,aml policy",1700,"solicitor,aml,money laundering",low,none
1,sra-compliance,client-due-diligence-for-uk-conveyancers,client due diligence conveyancer,how-to,"cdd conveyancing,id verification,enhanced due diligence",1700,"conveyancing,solicitor,money laundering",low,none
2,partnership-llp,llp-vs-traditional-partnership-uk-law-firms,llp vs partnership law firm,comparison,"llp benefits,unlimited liability,partnership conversion",1900,"llp,partnership,solicitor",low,low
2,partnership-llp,how-llp-members-are-taxed-uk-2025-26,llp member tax uk,informational,"llp tax transparency,member share,llp taxation",1800,"llp,partner,solicitor",low,low
2,partnership-llp,salaried-member-rules-uk-llps-explained,salaried member rules llp,informational,"fa 2014,disguised salary,condition a b c",1900,"llp,partner,salaried partner",low,low
2,partnership-llp,fixed-share-partner-vs-equity-partner-tax,fixed share partner tax,comparison,"fixed share llp,equity partner tax,salaried partner",1800,"partner,equity partner,fixed share partner",low,low
2,partnership-llp,partnership-to-llp-conversion-tax-implications,partnership to llp conversion,how-to,"llp conversion,partnership cessation,carry forward losses",1800,"partnership,llp,solicitor",low,low
2,partnership-llp,partner-capital-contributions-tax-treatment,partner capital contribution,informational,"llp capital,partnership capital,interest relief",1700,"partner,llp,solicitor",low,none
2,partnership-llp,partner-loan-interest-relief-uk-tax,partner loan interest tax relief,informational,"qualifying loan interest,ita 398,partner finance",1700,"partner,llp,solicitor",low,none
2,partnership-llp,profit-allocation-methods-uk-llps,llp profit allocation,informational,"profit share methodology,allocation rules,llp agreement",1700,"llp,partner,solicitor",low,low
2,partnership-llp,partner-drawings-vs-profit-share-tax,partner drawings tax,informational,"drawings drawings tax,profit share timing,interim payments",1700,"partner,llp,solicitor",low,low
2,partnership-llp,exit-of-an-equity-partner-tax-implications,partner exit tax,informational,"retiring partner,exit payment,partner capital return",1800,"equity partner,llp,solicitor",low,low
2,partnership-llp,bringing-in-a-new-equity-partner-llp,new equity partner llp,how-to,"partner admission,buy-in,partnership agreement",1700,"equity partner,llp,solicitor",low,low
2,partnership-llp,partnership-agreement-key-tax-clauses,partnership agreement tax clauses,how-to,"profit allocation clause,retirement clause,death of partner",1700,"partnership,llp,solicitor",low,low
2,partnership-llp,llp-vs-limited-company-uk-law-firms,llp vs limited company,comparison,"law firm ltd,corporate structure,abs",1800,"llp,solicitor,abs",low,low
2,partnership-llp,abs-licence-requirements-uk-law-firms,abs licence requirements,informational,"alternative business structure,non-solicitor ownership,sra abs",1800,"abs,sra,solicitor",low,none
2,partnership-llp,sole-practitioner-vs-llp-uk-solicitors,sole practitioner vs llp,comparison,"sole solicitor,solo practitioner,llp benefits",1700,"solicitor,llp,sole practitioner",low,low
3,indemnity,professional-indemnity-insurance-tax-treatment-uk,pii tax deductible solicitor,informational,"pii premiums,mtc cover,allowable expense",1800,"pii,solicitor,professional indemnity",low,low
3,indemnity,minimum-terms-and-conditions-pii-explained,mtc pii solicitor,informational,"sra mtc,2m cover,qualifying insurer",1800,"pii,sra,solicitor",low,none
3,indemnity,pii-renewal-cycle-uk-law-firms,pii renewal solicitor,how-to,"october renewal,pii market,run-off cover",1800,"pii,solicitor,law firm",low,none
3,indemnity,run-off-cover-cessation-and-tax-treatment,run-off cover tax,informational,"cessation cover,six year run-off,run-off premium",1700,"pii,solicitor,law firm",low,low
3,indemnity,top-up-pii-when-is-it-needed-uk-solicitors,top up pii required,informational,"excess layer,additional cover,specialist work pii",1500,"pii,solicitor,law firm",low,none
3,indemnity,what-happens-when-pii-claim-occurs-tax,pii claim tax treatment,informational,"pii claim,excess deductible,reserve account",1700,"pii,solicitor,law firm",low,low
4,fee-earner,trainee-solicitor-salary-and-tax-firm,trainee solicitor salary tax,informational,"training contract pay,trainee paye,nmw exemption",1800,"trainee solicitor,paye,solicitor",low,low
4,fee-earner,sqe-training-costs-tax-deductible-trainees,sqe costs tax deductible,informational,"sqe fees,training expenses,deductible cpd",1700,"sqe,trainee solicitor,solicitor",low,low
4,fee-earner,associate-solicitor-bonus-structures-tax,associate bonus tax,informational,"performance bonus,paye bonus,partnership track",1700,"associate solicitor,solicitor,bonus",low,low
4,fee-earner,paralegal-employment-status-and-tax-uk,paralegal tax status,informational,"paralegal paye,employment status,self employed paralegal",1700,"paralegal,solicitor,tax",low,low
4,fee-earner,cilex-route-to-qualification-tax-treatment,cilex tax,informational,"chartered legal executive,cilex fees,tax deductible",1500,"cilex,solicitor,tax",low,none
4,fee-earner,solicitor-mortgage-affordability-self-employed,solicitor mortgage self employed,informational,"partner mortgage,self employed lending,sa302",1700,"solicitor,partner,llp",low,medium
4,fee-earner,sabbatical-leave-solicitor-tax-implications,sabbatical solicitor tax,informational,"unpaid sabbatical,return guarantee,paye continuity",1500,"solicitor,sabbatical,tax",low,none
4,fee-earner,parental-leave-pay-for-uk-solicitors-partners,partner parental leave tax,informational,"maternity llp,parental leave drawings,smp",1700,"partner,llp,solicitor",low,low
4,fee-earner,solicitor-cpd-tax-deductible-uk-2025-26,solicitor cpd tax deductible,informational,"continuing competence,sra training,cpd costs",1500,"solicitor,sra,cpd",low,none
5,conveyancing,sdlt-calculation-uk-conveyancing-solicitors,sdlt calculation uk,how-to,"sdlt rates,additional property surcharge,non resident sdlt",1900,"conveyancing,solicitor,sdlt",low,low
5,conveyancing,ltt-vs-sdlt-comparison-welsh-conveyancing,ltt vs sdlt,comparison,"welsh property tax,land transaction tax,wales conveyancing",1700,"conveyancing,solicitor,wales",low,low
5,conveyancing,lbtt-rates-scottish-conveyancing-firms,lbtt rates scotland,informational,"scottish stamp duty,lbtt thresholds,additional dwelling supplement",1700,"conveyancing,solicitor,scotland",low,none
5,conveyancing,client-account-handling-residential-conveyancing,client account conveyancing,how-to,"residential conveyancing money,exchange completion,client account discipline",1800,"conveyancing,client account,solicitor",low,low
5,conveyancing,conveyancing-vat-rules-uk-2025-26,conveyancing vat,informational,"vat on conveyancing fees,disbursements vat,land registry fees",1700,"conveyancing,solicitor,vat",low,low
5,conveyancing,disbursements-vs-recharges-conveyancing-vat,conveyancing disbursements vat,informational,"agency disbursement,principal disbursement,vat treatment fees",1700,"conveyancing,solicitor,vat",low,low
5,conveyancing,conveyancing-firm-financial-control-strategies,conveyancing financial controls,how-to,"undertaking risk,exchange controls,completion handling",1800,"conveyancing,solicitor,law firm",low,none
5,conveyancing,fee-structure-for-uk-residential-conveyancing-firms,conveyancing fee structure,informational,"fixed fee conveyancing,no completion no fee,referral fees",1700,"conveyancing,solicitor,law firm",low,low
