keyword,volume,best_pos,competitor,source,disposition,code,note
open bakery shop,4400,31,livingstonesaccountants.co.uk,ranked:livingstonesaccountants.co.uk,EXCLUDED,EX-STARTUP-DIY,"how-to-open-a-shop startup content (livingstones traffic model), not accountancy hire/operator intent"
open a coffee shop,1300,11,livingstonesaccountants.co.uk,ranked:livingstonesaccountants.co.uk,EXCLUDED,EX-STARTUP-DIY,"how-to-open-a-shop startup content (livingstones traffic model), not accountancy hire/operator intent"
vehicle depreciation calculator,1300,21,depreciationscalculator.co.uk,ranked:depreciationscalculator.co.uk,EXCLUDED,EX-CONSUMER-CAR,"consumer car-value intent (depreciationscalculator audience), not motor-trade accountancy"
manufacturing account,260,28,skynetaccounting.co.uk,ranked:skynetaccounting.co.uk|discovery_pool:dfs_ranked,ASSIGNED,M-HEAD,manufacturing hub pillar
manufacturing accounts,260,29,skynetaccounting.co.uk,ranked:skynetaccounting.co.uk,ASSIGNED,M-HEAD,manufacturing hub pillar
accountant retail,210,58,lanop.co.uk,ranked:lanop.co.uk,ASSIGNED,R-HEAD,retail seed reframe
accounting for retail,210,29,lanop.co.uk,ranked:lanop.co.uk|discovery_pool:dfs_ranked,ASSIGNED,R-HEAD,retail seed reframe
accounting for retailers,210,32,lanop.co.uk,ranked:lanop.co.uk|discovery_pool:dfs_ranked,ASSIGNED,R-HEAD,retail seed reframe
accounting for retailing,210,31,lanop.co.uk,ranked:lanop.co.uk,ASSIGNED,R-HEAD,retail seed reframe
accounting in retail,210,31,lanop.co.uk,ranked:lanop.co.uk|discovery_pool:dfs_ranked,ASSIGNED,R-HEAD,retail seed reframe
retail accountant,210,57,lanop.co.uk,ranked:lanop.co.uk|tier2_retail_heads_2026-07-15,ASSIGNED,R-HEAD,retail seed reframe
retail accountants,210,23,lanop.co.uk,ranked:lanop.co.uk|discovery_pool:dfs_ranked,ASSIGNED,R-HEAD,retail seed reframe
retail accounting,210,36,lanop.co.uk,ranked:lanop.co.uk|discovery_pool:dfs_ranked,ASSIGNED,R-HEAD,retail seed reframe
how to open a coffee shop in the uk,210,15,livingstonesaccountants.co.uk,ranked:livingstonesaccountants.co.uk,EXCLUDED,EX-STARTUP-DIY,"how-to-open-a-shop startup content (livingstones traffic model), not accountancy hire/operator intent"
how to open a coffee shop in uk,210,15,livingstonesaccountants.co.uk,ranked:livingstonesaccountants.co.uk,EXCLUDED,EX-STARTUP-DIY,"how-to-open-a-shop startup content (livingstones traffic model), not accountancy hire/operator intent"
how to open a coffee shop uk,210,14,livingstonesaccountants.co.uk,ranked:livingstonesaccountants.co.uk,EXCLUDED,EX-STARTUP-DIY,"how-to-open-a-shop startup content (livingstones traffic model), not accountancy hire/operator intent"
how to open coffee shop in uk,210,14,livingstonesaccountants.co.uk,ranked:livingstonesaccountants.co.uk,EXCLUDED,EX-STARTUP-DIY,"how-to-open-a-shop startup content (livingstones traffic model), not accountancy hire/operator intent"
how to open coffee shop uk,210,14,livingstonesaccountants.co.uk,ranked:livingstonesaccountants.co.uk,EXCLUDED,EX-STARTUP-DIY,"how-to-open-a-shop startup content (livingstones traffic model), not accountancy hire/operator intent"
depreciation rate for vehicles,210,22,depreciationscalculator.co.uk,ranked:depreciationscalculator.co.uk,EXCLUDED,EX-CONSUMER-CAR,"consumer car-value intent (depreciationscalculator audience), not motor-trade accountancy"
depreciation rate on vehicles,210,15,depreciationscalculator.co.uk,ranked:depreciationscalculator.co.uk,EXCLUDED,EX-CONSUMER-CAR,"consumer car-value intent (depreciationscalculator audience), not motor-trade accountancy"
vehicle depreciation rates,210,43,depreciationscalculator.co.uk,ranked:depreciationscalculator.co.uk,EXCLUDED,EX-CONSUMER-CAR,"consumer car-value intent (depreciationscalculator audience), not motor-trade accountancy"
