path,how,mentions,gsc_impr_90d,gsc_clicks_90d,gsc_pos,bing_impr,bing_clicks,bing_pos,owns_cluster
/blog/capital-gains-tax/capital-gains-tax-property-complete-guide-uk,slug/title,100,14345,70,6.0,476,4,7,capital gains tax on property + capital gains on property
/blog/landlord-tax-essentials/landlord-accounting-spreadsheet-template-free-excel-guide,body-5plus,15,4329,174,7.9,5,0,7,
/blog/section-24-and-tax-relief/mortgage-arrangement-fees-deductible-landlord,body-5plus,17,3408,103,6.5,101,9,4,
/blog/section-24-and-tax-relief/landlord-tax-deductions-uk-2026-complete-list,body-5plus,12,2578,34,8.4,205,3,6,
/blog/non-resident-landlord-tax/non-resident-landlord-scheme-uk-complete-guide,body-5plus,17,2278,11,28.0,404,1,7,
/blog/capital-gains-tax/cgt-payment-deadlines-property-sales-2026,slug/title,56,2491,19,9.3,103,1,7,report capital gains + hmrc capital gains tax
/blog/incorporation-and-company-structures/ated-complete-guide-2026-27,body-5plus,10,2550,8,6.3,22,0,7,
/blog/capital-gains-tax/cgt-rates-property-2026-27-current-rates-explained,slug/title,92,1779,0,5.5,57,0,6,
/blog/landlord-tax-essentials/sdlt-leasehold-extension-vs-fresh-purchase,body-5plus,13,1728,19,11.5,17,1,5,
/blog/incorporation-and-company-structures/partnership-sdlt-relief-schedule-15-fa-2003-incorporation-sum-lower-proportions,body-5plus,5,1616,2,7.1,66,7,6,
/blog/property-types-and-specialist-tax/capital-allowances-on-property,body-5plus,9,1373,10,24.7,246,3,6,
/blog/property-types-and-specialist-tax/how-much-tax-holiday-let-property-uk,body-5plus,18,1496,2,52.1,103,7,5,
/blog/portfolio-management/buying-commercial-property-through-a-sipp,body-5plus,18,1393,13,10.5,0,0,,
/blog/capital-gains-tax/cgt-on-inherited-property-uk-probate-base-cost,slug/title,96,1276,4,6.3,25,2,5,
/blog/incorporation-and-company-structures/how-to-transfer-property-into-limited-company-uk,body-5plus,37,841,5,26.6,372,34,3,
/blog/property-accountant-services/how-to-become-property-accountant,body-5plus,28,1211,15,18.8,0,0,,
/blog/incorporation-and-company-structures/sdlt-transfer-property-company-cost,body-5plus,19,1027,1,8.3,161,3,5,
/blog/capital-gains-tax/cgt-annual-exempt-amount-3000-allowance-2026-27,slug/title,57,1087,0,7.0,62,0,7,cgt on gilts
/blog/capital-gains-tax/ppr-relief-calculation-former-home-step-by-step,body-5plus,19,887,12,8.1,174,5,6,
/blog/landlord-tax-essentials/iht-gifts-with-reservation-of-benefit-property,body-5plus,9,1017,24,6.4,22,0,4,
/blog/property-types-and-specialist-tax/lease-variation-and-lease-surrender,slug/title,40,929,13,8.4,30,1,7,
/blog/landlord-tax-essentials/inheritance-tax-rental-property-uk-guide,body-5plus,11,942,10,14.8,4,3,4,
/blog/incorporation-and-company-structures/settlor-interested-trust-iht-s49-1a-cgt-s169b-property-attribution-rules,slug/title,70,935,19,10.5,0,0,,
/blog/incorporation-and-company-structures/alphabet-shares-property-spv-dividend-splitting-spouse-children,body-5plus,8,896,10,6.6,0,0,,
/blog/capital-gains-tax/cgt-gifting-property-family-members-uk,slug/title,68,258,0,8.0,607,40,4,cgt on gifted property
/blog/incorporation-and-company-structures/corporation-tax-rates-property-companies-2026-27,body-5plus,15,804,7,8.0,0,0,,
/blog/non-resident-landlord-tax/uk-france-dta-property-rental-income-cgt,slug/title,21,774,0,8.3,0,0,,
/blog/incorporation-and-company-structures/buy-to-let-limited-company-complete-guide-uk,body-5plus,23,700,1,15.8,28,0,3,
/blog/non-resident-landlord-tax/moving-to-australia-uk-rental-property-tax-pathway,body-5plus,49,724,9,9.1,0,0,,
/blog/section-24-and-tax-relief/landlord-insurance-tax-deductible,body-5plus,13,668,7,7.4,5,1,2,
/blog/property-types-and-specialist-tax/hmo-tax-guide-rental-income-deductions-multi-tenant,body-5plus,12,637,2,13.6,0,0,,
/blog/property-types-and-specialist-tax/property-development-tax-trading-vs-investment-income,body-5plus,19,609,1,8.1,0,0,,
/blog/incorporation-and-company-structures/property-investment-company-structure-planning,body-5plus,17,582,5,10.5,16,0,5,
/blog/section-24-and-tax-relief/furnished-holiday-let-tax-rules-exemptions,body-5plus,20,514,4,35.2,52,1,7,
/blog/non-resident-landlord-tax/automatic-exchange-of-information,body-5plus,5,554,1,10.9,0,0,,
/blog/property-types-and-specialist-tax/commercial-property-tax-landlords-rates-reliefs-allowances,body-5plus,17,519,4,17.8,13,2,5,
/blog/non-resident-landlord-tax/non-resident-landlord-self-assessment-filing-requirements,body-5plus,22,430,7,9.2,63,0,6,
/blog/property-types-and-specialist-tax/selling-house-below-market-value,slug/title,51,493,2,10.0,0,0,,
/blog/section-24-and-tax-relief/rent-a-room-relief-uk-landlords-lodgers-guide,body-5plus,7,417,0,9.4,56,1,7,
/blog/capital-gains-tax/tax-sell-rental-property-uk,body-5plus,63,162,0,15.3,291,18,4,
/blog/non-resident-landlord-tax/double-taxation-agreement-uk-and-isle-of-man,body-5plus,11,438,12,9.3,0,0,,
/blog/property-accountant-services/property-accountant-nottingham-landlords,body-5plus,16,409,0,18.9,0,0,,
/blog/incorporation-and-company-structures/sdlt-group-relief-schedule-7-fa-2003-claw-back-connected-party-recovery-depth,body-5plus,6,381,0,7.4,25,0,7,
/blog/landlord-tax-essentials/record-keeping-landlords-what-track-how-long-keep,body-5plus,13,382,5,7.4,22,0,5,
/blog/incorporation-and-company-structures/extraction-while-incorporating-phase-2-acquisition-funded-by-personal-funds,body-5plus,40,357,2,7.7,0,0,,
/blog/property-types-and-specialist-tax/hmo-vs-standard-buy-to-let-tax-comparison,body-5plus,13,339,2,7.7,0,0,,
/blog/capital-gains-tax/cgt-overseas-property-uk-residents-foreign-disposals,slug/title,73,317,7,7.2,12,2,4,capital gains foreign property
/blog/non-resident-landlord-tax/uk-spain-dta-property-uk-resident-spanish-holiday-home,body-5plus,9,325,1,8.7,1,0,10,
/blog/incorporation-and-company-structures/sdlt-incorporation-stamp-duty-twice,body-5plus,20,292,4,22.2,23,1,7,
/blog/property-types-and-specialist-tax/balancing-allowance-balancing-charge-on-disposal-property-capital-allowances-mechanics,body-5plus,27,283,0,8.7,31,0,7,
/blog/capital-gains-tax/rollover-relief-property-landlords,body-5plus,89,300,0,8.2,14,1,6,
/blog/non-resident-landlord-tax/foreign-tax-credit-uk-property-overseas-landlords,body-5plus,6,312,0,7.5,0,0,,
/blog/section-24-and-tax-relief/finance-costs-section-24-complete-guide,body-5plus,6,6,0,7.7,302,3,4,
/blog/incorporation-and-company-structures/anti-avoidance-rules-share-exchanges-and-reorganisations,body-5plus,21,290,0,9.2,11,0,4,
/blog/incorporation-and-company-structures/substantial-shareholding-exemption-sse,body-5plus,7,249,0,7.0,39,0,8,
/blog/capital-gains-tax/bed-and-breakfasting,body-5plus,15,273,0,8.1,2,0,10,bed and breakfasting capital gains tax
/blog/non-resident-landlord-tax/srt-statutory-residence-test-landlord-decision-tree,body-5plus,6,275,1,9.0,0,0,,
/blog/landlord-tax-essentials/sdlt-on-probate-property-transfers,body-5plus,15,252,2,7.5,12,1,6,
/blog/landlord-tax-essentials/deed-of-variation-property-estate-redirecting-inheritance-iht-saving,body-5plus,29,241,1,7.6,0,0,,
/blog/incorporation-and-company-structures/gifting-property-to-minor-children-bare-trust-mechanics-tax-traps,body-5plus,26,236,1,9.3,0,0,,
/blog/capital-gains-tax/cgt-property-sold-loss-claim-capital-losses,slug/title,74,48,0,10.6,185,3,6,capital gains loss
/blog/incorporation-and-company-structures/property-spv-share-buyback-out-of-distributable-reserves-mechanics,body-5plus,10,233,1,8.9,0,0,,
/blog/landlord-tax-essentials/stamp-duty-buy-to-let-surcharge,body-5plus,13,233,1,10.2,0,0,,
/blog/landlord-tax-essentials/landlord-tax-calendar-2026-27-key-dates,body-5plus,24,230,5,5.5,0,0,,
/blog/section-24-and-tax-relief/tax-relief-mortgage-interest-rented-property-guide,body-5plus,7,172,0,39.8,57,2,6,
/blog/property-types-and-specialist-tax/holiday-let-tax-calculator-fhl-changes,body-5plus,18,215,1,50.6,3,1,2,
/blog/capital-gains-tax/letting-relief-landlords-2026-changes,body-5plus,66,192,0,5.4,15,1,7,cgt letting relief
/blog/property-accountant-services/property-accountant-oxford-guide-local-landlords,body-5plus,15,207,0,12.3,0,0,,
/blog/non-resident-landlord-tax/nrcgt-indirect-disposal-property-rich-companies-shares,slug/title,11,185,2,6.7,16,1,6,
/blog/capital-gains-tax/cgt-main-residence-relief-joint-ownership-pra-election-spouses-mechanics,slug/title,23,176,2,7.4,21,0,5,roll over relief cgt
/blog/non-resident-landlord-tax/uk-italy-dta-tie-breaker-property-residence-disputes,body-5plus,6,196,1,5.7,0,0,,
/blog/incorporation-and-company-structures/when-does-hmrc-accept-rental-property-incorporation-business,body-5plus,28,196,5,6.9,0,0,,
/blog/capital-gains-tax/capital-gains-tax-property-sale-uk-2026-rates-allowances,slug/title,52,136,0,6.0,50,2,6,capital gains on residential property + capital gains tax rates 2024/25 + capital gains tax rate 2026
/blog/capital-gains-tax/cgt-divorce-property-transfer-tax-implications,slug/title,69,165,3,9.7,21,0,6,capital gains tax divorce
/blog/landlord-tax-essentials/declaration-of-trust-property-beneficial-ownership-mechanics-evidence-form-17,body-5plus,14,137,0,9.0,48,1,6,
/blog/capital-gains-tax/principal-private-residence-relief-landlords,body-5plus,74,13,0,11.9,171,4,6,capital gains tax main residence + capital gains tax private residence relief
/blog/incorporation-and-company-structures/director-loan-account-property-company-mechanics,body-5plus,7,181,0,8.5,0,0,,
/blog/landlord-tax-essentials/form-17-declaration-beneficial-interest-property-mechanics-filing-revocation,body-5plus,11,75,0,10.8,102,1,6,
/blog/incorporation-and-company-structures/spv-property-investment-special-purpose-vehicle-guide,body-5plus,5,89,2,10.0,87,0,6,
