cluster,site,page_type,tier,topic,primary_keyword,primary_volume,cluster_volume,n_keywords,secondary_keywords,reg_flag,guardrail,notes
exit_eot,new exit/EOT hub / generalist,pillar,pillar,employee-ownership-trust-guide,employee ownership trust,2400,6760,94,employee-ownership trust; what is employee ownership trust; what is an employee ownership trust; employee ownership trust problems; employee ownership trust explained; how does an employee ownership trust work; employee ownership trust examples; employee ownership trust example; employee ownership trust benefits for employees; eot employee ownership trust; employee ownership trust uk,UNREG,Unregulated advisory (Art 70 RAO sale-of-company). FENCE OFF 'MBO finance / raising investment' (credit broking / arranging investments) — content+route only. Multi-buyer (accountants/EOT specialists/brokers/CF). EXCLUDE business-rates/VOA noise.,EOT WEDGE. Refresh for 26-Nov-2025 CGT 100%->50%.
exit_eot,new exit/EOT hub / generalist,pillar,pillar,business-valuation-guide,business valuation,880,3230,25,valuation of a business; valuation of business; valuation of the business; valuation of a business methods; methods of valuation of business; valuation of business methods; valuation of business formula; valuation of business uk; valuation of a small business; valuation of small business; valuation of business based on profit; valuation of a small business calculator,UNREG,Unregulated advisory (Art 70 RAO sale-of-company). FENCE OFF 'MBO finance / raising investment' (credit broking / arranging investments) — content+route only. Multi-buyer (accountants/EOT specialists/brokers/CF). EXCLUDE business-rates/VOA noise.,Methods pillar.
exit_eot,new exit/EOT hub / generalist,pillar,pillar,sell-my-business-guide,sell my business,880,70,1,valuation business for sale,UNREG,Unregulated advisory (Art 70 RAO sale-of-company). FENCE OFF 'MBO finance / raising investment' (credit broking / arranging investments) — content+route only. Multi-buyer (accountants/EOT specialists/brokers/CF). EXCLUDE business-rates/VOA noise.,Buyer-journey pillar. Trade sale vs EOT vs MBO.
exit_eot,new exit/EOT hub / generalist,cluster,cluster,business-exit-planning,business exit planning,390,6210,141,exit plan for business; exit strategy business; exit strategy for business; business exit strategy; business exit plans; exit strategy of a business; exit strategy in business; business exit plan; exit plan for a business; exit strategy for a business; exit strategy in a business plan,UNREG,Unregulated advisory (Art 70 RAO sale-of-company). FENCE OFF 'MBO finance / raising investment' (credit broking / arranging investments) — content+route only. Multi-buyer (accountants/EOT specialists/brokers/CF). EXCLUDE business-rates/VOA noise.,Exit/succession planning.
exit_eot,new exit/EOT hub / generalist,cluster,cluster,management-buyout-guide,management buyout,2400,6090,189,what is a management buyout; what is management buyout; management buyout meaning; how does a management buyout work; financing management buyout; financing a management buyout; management buyout definition; management buyout financing; management buyout examples; management buyout example; advantages and disadvantages of management buyout,UNREG,Unregulated advisory (Art 70 RAO sale-of-company). FENCE OFF 'MBO finance / raising investment' (credit broking / arranging investments) — content+route only. Multi-buyer (accountants/EOT specialists/brokers/CF). EXCLUDE business-rates/VOA noise.,STRUCTURE/explainer only. Fence off MBO finance.
exit_eot,new exit/EOT hub / generalist,calculator,cluster,business-valuation-calculator,business valuation calculator,720,730,2,valuation calculator business; how much is my business worth to sell calculator,UNREG,Unregulated advisory (Art 70 RAO sale-of-company). FENCE OFF 'MBO finance / raising investment' (credit broking / arranging investments) — content+route only. Multi-buyer (accountants/EOT specialists/brokers/CF). EXCLUDE business-rates/VOA noise.,Tool.
exit_eot,new exit/EOT hub / generalist,cluster,cluster,eot-tax-relief-and-cgt,eot tax relief,0,260,9,employee ownership trust tax; employee ownership trust tax-free bonus; employee ownership trust tax free bonus; employee ownership trust inheritance tax; employee ownership trust capital gains tax; employee ownership trust tax benefits; how is an employee ownership trust taxed; employee ownership trust capital gains tax relief; employee ownership trust tax changes,UNREG,Unregulated advisory (Art 70 RAO sale-of-company). FENCE OFF 'MBO finance / raising investment' (credit broking / arranging investments) — content+route only. Multi-buyer (accountants/EOT specialists/brokers/CF). EXCLUDE business-rates/VOA noise.,26-Nov-2025 CGT cut 100%->50%. Owner-verify vs HMRC. Refresh.
exit_eot,new exit/EOT hub / generalist,cluster,cluster,eot-pros-and-cons,eot advantages and disadvantages,0,220,6,employee ownership trust pros and cons; employee ownership trust disadvantages; employee ownership trust advantages and disadvantages; employee ownership trust consultation; employee ownership trust pros and cons uk; employee ownership trust advantages,UNREG,Unregulated advisory (Art 70 RAO sale-of-company). FENCE OFF 'MBO finance / raising investment' (credit broking / arranging investments) — content+route only. Multi-buyer (accountants/EOT specialists/brokers/CF). EXCLUDE business-rates/VOA noise.,Decision content.
exit_eot,new exit/EOT hub / generalist,cluster,cluster,how-to-value-a-business,how to value a business,0,20,1,how to value my business to sell,UNREG,Unregulated advisory (Art 70 RAO sale-of-company). FENCE OFF 'MBO finance / raising investment' (credit broking / arranging investments) — content+route only. Multi-buyer (accountants/EOT specialists/brokers/CF). EXCLUDE business-rates/VOA noise.,Methods explainer.
exit_eot,new exit/EOT hub / generalist,cluster,cluster,how-to-set-up-an-eot,how to set up an eot,0,0,0,,UNREG,Unregulated advisory (Art 70 RAO sale-of-company). FENCE OFF 'MBO finance / raising investment' (credit broking / arranging investments) — content+route only. Multi-buyer (accountants/EOT specialists/brokers/CF). EXCLUDE business-rates/VOA noise.,"Qualifying conditions, trustee, timeline."
