priority,links,page_url,theme,intent,google_pos,bing_pos,bing_impr,target_query,suggested_anchors,notes
1,4,https://www.propertytaxpartners.co.uk/,Homepage / domain authority,Brand,,,,property tax partners,"Property Tax Partners | propertytaxpartners.co.uk (naked) | specialist property tax accountants | property tax advisers UK",Domain-level authority lifts every page; URL is stable through the planned homepage rewrite so equity persists. Lean brand + naked-URL anchors.
2,1,https://www.propertytaxpartners.co.uk/blog/incorporation-and-company-structures/sdlt-transfer-property-company-cost,Incorporation / SDLT,High-value advisory,8.5,4.2,190,sdlt transfer property to limited company connected party,"SDLT on transferring property to a limited company | stamp duty when incorporating a portfolio | Property Tax Partners",Flagship - striking distance on BOTH engines
3,1,https://www.propertytaxpartners.co.uk/blog/non-resident-landlord-tax/non-resident-landlord-self-assessment-filing-requirements,Non-resident landlord,High-value advisory,7.0,6.2,517,non-resident landlord self assessment filing,"non-resident landlord self assessment | filing requirements for non-resident landlords | (naked URL)",Striking distance on BOTH engines
4,1,https://www.propertytaxpartners.co.uk/blog/non-resident-landlord-tax/non-resident-landlord-scheme-uk-complete-guide,Non-resident landlord,High-value advisory,10.0,5.4,1956,uk rental income tax for non-resident landlords 2026,"non-resident landlord scheme | tax for non-resident landlords | (naked URL)",Biggest Bing demand on the site; Google one push from top-3
5,1,https://www.propertytaxpartners.co.uk/blog/property-accountant-services/how-much-does-a-property-accountant-cost,Fees / money page,Lead-gen (national),8.0,,,property accountant cost,"property accountant fees | how much a property accountant costs | Property Tax Partners",Bottom-of-funnel; already earned a click
6,1,https://www.propertytaxpartners.co.uk/blog/incorporation-and-company-structures/corporation-tax-marginal-relief-uk-guide,Incorporation / corp tax,High-value advisory,16.6,5.7,344,uk corporation tax marginal relief calculation 2026/27,"corporation tax marginal relief | marginal relief calculation 2026/27 | Property Tax Partners",Reachable on both engines
7,1,https://www.propertytaxpartners.co.uk/blog/property-accountant-services/can-you-claim-aia-on-second-hand-assets,Capital allowances,High-value advisory,,3.3,377,can you claim aia on second hand assets,"claiming AIA on second-hand assets | annual investment allowance on property | (naked URL)",Bing top-3 proven content; Google authority play
8,1,https://www.propertytaxpartners.co.uk/blog/incorporation-and-company-structures/a-complete-guide-to-family-investment-companies-fics,Family investment companies,High-value advisory (HNW),14.6,,,family investment company structure,"family investment companies | FIC for property | Property Tax Partners",High-net-worth advisory; reachable
9,1,https://www.propertytaxpartners.co.uk/blog/portfolio-management/multi-property-landlord-tax-planning-strategies-5-plus-properties,Portfolio landlords (5+),High-value advisory,14.3,,,portfolio landlord tax planning,"portfolio landlord tax planning | tax planning for 5+ property landlords | Property Tax Partners",High-value portfolio clients
10,1,https://www.propertytaxpartners.co.uk/blog/incorporation-existing-portfolios-phased-approach,Portfolio incorporation,High-value advisory,19.0,,,incorporating a property portfolio uk,"incorporating an existing property portfolio | phased property incorporation | (naked URL)",Big-ticket advisory client
11,1,https://www.propertytaxpartners.co.uk/blog/property-tax-accountant-london,Local - London (exception),Lead-gen,31.9,,,property accountant south london,"property tax accountant in London | London property accountant | Property Tax Partners",263 Google impr; biggest market - the one local page worth links
12,1,https://www.propertytaxpartners.co.uk/blog/incorporation-and-company-structures/buy-to-let-limited-company-complete-guide-uk,BTL limited company,High-value advisory,62.8,3.5,168,create btl limited company uk,"buy-to-let limited company guide | setting up a BTL limited company | Property Tax Partners",Bing top-4 proven content; Google authority play (longer-term)
13,1,https://www.propertytaxpartners.co.uk/blog/incorporation-and-company-structures/how-to-transfer-property-into-limited-company-uk,Incorporation cornerstone,High-value advisory,88.5,3.6,782,stamp duty on property incorporation uk,"how to transfer property into a limited company | moving a buy-to-let into a company | (naked URL)",Bing top-4 proven content; Google authority play (longer-term)
14,1,https://www.propertytaxpartners.co.uk/blog/incorporation-and-company-structures/spv-property-investment-special-purpose-vehicle-guide,SPV,High-value advisory,83.0,5.7,438,special purpose vehicle property investment,"property investment SPV | special purpose vehicle for property | Property Tax Partners",Bing top-6 proven content; Google authority play (longer-term)
