unit_id,verdict,slug,cluster,dominant_query,query_variants,volume_if_any,priority,questions_answered,notes
U01,NEW,spv-company,pillar,set up a limited company for buy to let,spv company|set up spv company|spv company set up cost|how to set up an spv|setting up a limited company for buy to let property investment|property limited company set up|how do i set up a company to buy rental property|is an spv worth it for a landlord,"110 (head 'spv company' 720 UNVERIFIED, absent from our corpus)",P1,28,"Root-level pillar, site convention (/services/* routes are hardcoded). Owns the SPV LIFECYCLE (form, name, SIC, bank, run, close) plus hub navigation. Does NOT own 'should I incorporate' (=/incorporation) and does NOT own 'what is an SPV' (=spv-property-investment-special-purpose-vehicle-guide). Foregrounds transfer-in per our-data weighting."
U02,EXTEND,how-to-set-up-property-investment-company-uk-guide,formation-mechanics,how to set up an spv company,how to set up spv|how to open spv company|set up spv companies house|how to start a property limited company|set up an spv limited company|how spv is formed|setting up a spv to buy property|what do i need to register an spv,30,P1,22,"ADD: literal Companies House walkthrough (IN01 fields, share capital choice, PSC statement, ECCTA ID verification for the director), realistic timeline, what a lender needs to see on day one. Existing page is strategy-shaped; the mechanics are the gap."
U03,NEW,spv-company-formation-cost-uk,formation-mechanics,how much does it cost to set up an spv,cost to set up an spv|cost to set up spv|spv company set up cost|what is a setup fee|how much to form a property limited company|spv accountant fees|is it expensive to run an spv|what does an spv cost in year one,no measured volume (autocomplete-blind bucket),P1,6,"Commercial/product intent. Formation fee plus first-year running total (CH fee, accountant, bank, insurance, CT filing). Cross-links to property-company-running-costs-annual-budget, which owns the ONGOING budget. Seam is year-one setup vs annual run rate."
U04,NEW,spv-company-name-rules-uk,formation-mechanics,buy to let limited company names,sample spv company names|spv company name|property company name ideas uk|change limited company name|companies house name rules sensitive words|can i call my company property investments ltd|do lenders care about my company name,320 (change limited company name),P3,7,"Thin but zero-competition. Naming rules, sensitive words, same-as rules, changing a name later, lender and brand considerations."
U05,NEW,spv-company-bank-account,formation-mechanics,spv company bank account,spv bank account|what is an spv property account|business bank account for a property company|do i need a separate bank account for my spv|can i use my personal account for rental income|which banks accept spv companies|opening a bank account for a newly formed spv,no measured volume,P2,6,"Real gap: nothing on disk. Practical, high-friction step. Cross-link to property-company-accounting-requirements-hmrc-expectations."
U06,NEW,registered-office-address-property-spv,formation-mechanics,registered office address for a property company,can my registered office be my home|registered office service|virtual address for limited company|change registered office address|do i have to publish my home address at companies house|registered office vs trading address for a landlord company|appropriate address rule eccta,110 (virtual address for limited company),P2,9,"ECCTA appropriate-address rule makes this current. Seam vs U10: U06 = the address, U10 = the SIC code. Both are post-formation CH admin but different filings."
U07,COVERED,a-complete-guide-on-incorporating-a-company-in-uk,formation-mechanics,incorporating a company in the uk,-,-,-,0,Owns generic Companies House incorporation mechanics post-ECCTA. No new page may re-target this.
U08,COVERED,a-complete-guide-to-identity-verification-in-uk,formation-mechanics,companies house identity verification,-,-,-,0,"Plus eccta-2023-id-verification-*, identity-verification-form, companies-house-id-verification-begins-today, identity-verification-for-pscs. ID-verification intent is saturated; U02 links out, never repeats."
U09,RESERVED,sic-code-for-an-spv-property-company,sic-companies-house-admin,sic code for an spv,property spv sic codes|limited company buy to let sic codes|spv company sic codes|which sic code do lenders accept|68209 or 68100 for a property company,-,-,0,Track B built page (category Property Finance). PROTECTED. No new page may target 'which SIC code'.
U10,NEW,change-sic-code-companies-house-property-company,sic-companies-house-admin,how to change a sic code at companies house,can i change my sic code|can i add another sic code|can i change sic code companies house|change sic code after incorporation|wrong sic code on my spv|does changing my sic code affect my mortgage|how many sic codes can a company have,no measured volume (SIC bucket is ~90% non-property noise),P3,9,"Seam vs U09: U09 = WHICH code, U10 = CHANGING it (confirmation-statement mechanics plus the lender consequence). Do not restate the code list."
U11,COVERED,confirmation-statements,sic-companies-house-admin,confirmation statement,-,-,-,0,Plus companies-house-confirmation-statement-changes-2024-onwards-psc-disclosure.
U12,NEW,spv-first-year-accounts-and-filing-timeline,sic-companies-house-admin,property limited company first year accounts,buy to let limited company accounts example|landlord limited company accounts|spv company accounts|when are my first company accounts due|micro-entity accounts for a property company|do i file dormant accounts if the spv has not bought yet|what does an spv accountant actually file,no measured volume,P2,8,"Gap: file-dormant-accounts covers DORMANT only; btl-limited-company-year-end-date covers the ARD as a PLANNING LEVER. Neither owns the new-SPV first-cycle timeline (ARD, CS01, CT600, FRS105). Cross-link both."
U13,COVERED,register-for-uk-corporation-tax,sic-companies-house-admin,register for corporation tax,-,-,-,0,Owns CT registration.
U14,EXTEND,landlord-vat-registration-when-required,sic-companies-house-admin,limited company vat registration,does an spv need to register for vat|vat on rental income in a limited company|limited company vat threshold|do i charge vat on residential rent through a company,390,P3,3,"ADD a short company/SPV section. Do NOT build a separate SPV-VAT page: residential letting is exempt, so the honest answer is short."
U15,COVERED,sdlt-transfer-property-company-cost,transfer-in,sdlt on transferring property to a limited company,sdlt transfer property to limited company connected party|tax on transfer of properties to limited company|sdlt on transfer of property to company|transfer home to limited company and replace residence sdlt,1000 (stamp duty for limited company),P1-PROTECT,0,RANKS 1.5-3.9 in our GSC/Bing data. PROTECTED. No new page may target SDLT-on-transfer. Any SDLT-on-transfer phrasing found later becomes an H2 on THIS page.
U16,COVERED,how-to-transfer-property-into-limited-company-uk,transfer-in,transfer property to limited company,how to transfer buy to let property to limited company|can i transfer my property to a limited company|transferring a property into a company|transfer property ownership to limited company|incorporation relief property business|how to transfer own property to limited company,390,P1-PROTECT,15,RANKS 1.5-5.5. PROTECTED. Owns the how-to. Absorbs the entire 'can i transfer my X to a ltd company' phrasing family (15 deduped units).
U17,EXTEND,incorporation-existing-portfolios-phased-approach,transfer-in,landlord portfolio incorporation uk,incorporating a property portfolio uk|how do i move my whole portfolio into a company|phased incorporation of a rental portfolio|can i incorporate some properties and not others|portfolio incorporation cost uk|should i incorporate my portfolio all at once,"394 impressions in our GSC, pos 52.6 and 46.6, 0 clicks",P1,6,"FULL REWRITE candidate. Two head queries land here around position 50 with zero clicks: the page exists but does not compete. Rewrite for the head framing, add a cost table, a timeline, an s162 gate summary and an FAQ. Do NOT build a competing new page."
