cluster,site,page_type,tier,topic,primary_keyword,primary_volume,cluster_volume,n_keywords,secondary_keywords,reg_flag,guardrail,notes
business_finance,new business-finance hub / generalist,pillar,pillar,business-loans-guide,business loan,27100,641570,503,loan business; business loan lending; loan for a business; business loan for business; loan on business; business loan for startup; loan business uk; starting up business loan; start up loan for business; business loan for startups; loan start up business,UNREG-COMPANY,UNREGULATED for LIMITED-COMPANY borrowers (RAO Art 36A). COMPANY-GATE every form ('is your business a limited company?'). Fence off sole traders/<£25k. Multi-buyer panel OK. No IAR.,"Company borrowers. Secured vs unsecured, terms."
business_finance,new business-finance hub / generalist,pillar,pillar,invoice-finance-guide,invoice finance,1900,0,0,,UNREG-COMPANY,UNREGULATED for LIMITED-COMPANY borrowers (RAO Art 36A). COMPANY-GATE every form ('is your business a limited company?'). Fence off sole traders/<£25k. Multi-buyer panel OK. No IAR.,Factoring vs discounting overview pillar.
business_finance,new business-finance hub / generalist,pillar,pillar,asset-finance-guide,asset finance,1900,0,0,,UNREG-COMPANY,UNREGULATED for LIMITED-COMPANY borrowers (RAO Art 36A). COMPANY-GATE every form ('is your business a limited company?'). Fence off sole traders/<£25k. Multi-buyer panel OK. No IAR.,"HP, lease, refinance. Highest-intent."
business_finance,new business-finance hub / generalist,cluster,cluster,small-business-loans,small business loan,5400,64400,100,small business loan lending; loan small business; small business financing loan; small business loan lender; small business loan lenders; loan for small business uk; uk small business loan; small business loan uk; loan for small business in uk; small business and loan; business loan small business,UNREG-COMPANY,UNREGULATED for LIMITED-COMPANY borrowers (RAO Art 36A). COMPANY-GATE every form ('is your business a limited company?'). Fence off sole traders/<£25k. Multi-buyer panel OK. No IAR.,"5,400/mo. Company-gated small-business lending."
business_finance,new business-finance hub / generalist,calculator,cluster,business-loan-calculator,business loan calculator,2900,23550,31,calculate business loan; loan calculator business loan; business loan calculators; loan calculator for business loan; business loan calculator uk; uk business loan calculator; business loan uk calculator; commercial business loan calculator; natwest business loan calculator; business loan calculator hsbc; business loan calculator natwest,UNREG-COMPANY,UNREGULATED for LIMITED-COMPANY borrowers (RAO Art 36A). COMPANY-GATE every form ('is your business a limited company?'). Fence off sole traders/<£25k. Multi-buyer panel OK. No IAR.,Tool.
business_finance,new business-finance hub / generalist,cluster,cluster,startup-business-loans,start up business loan,6600,9740,10,business start up loan; british business bank start up loan; british business bank: start up loan; business startup loan; business startup loan uk; business startup loan government; business start up loan uk; new business start up loan; how to get business start up loan; how to get a business start up loan,UNREG-COMPANY,UNREGULATED for LIMITED-COMPANY borrowers (RAO Art 36A). COMPANY-GATE every form ('is your business a limited company?'). Fence off sole traders/<£25k. Multi-buyer panel OK. No IAR.,"6,600/mo. Company-gate (SUL scheme is personal — route accordingly)."
business_finance,new business-finance hub / generalist,cluster,cluster,merchant-cash-advance,merchant cash advance,1300,7380,436,cash advance merchant; merchant cash advance in uk; uk merchant cash advance; merchant cash advance uk; merchant cash advance lender; merchant cash advance lenders; merchant cash advance loans; merchant cash advance loan; merchant cash advance direct lenders; merchant cash advance direct lender; small business merchant cash advance,UNREG-COMPANY,UNREGULATED for LIMITED-COMPANY borrowers (RAO Art 36A). COMPANY-GATE every form ('is your business a limited company?'). Fence off sole traders/<£25k. Multi-buyer panel OK. No IAR.,Company-only (sole-trader MCA can be regulated).
business_finance,new business-finance hub / generalist,cluster,cluster,unsecured-business-loans,unsecured business loan,1600,1600,1,business unsecured loan,UNREG-COMPANY,UNREGULATED for LIMITED-COMPANY borrowers (RAO Art 36A). COMPANY-GATE every form ('is your business a limited company?'). Fence off sole traders/<£25k. Multi-buyer panel OK. No IAR.,£1.6k/mo KD0. Company-gated.
business_finance,new business-finance hub / generalist,cluster,cluster,working-capital-finance,working capital finance,70,730,98,working capital in finance; working capital is the capital required to finance; finance working capital management; trade finance and working capital; net working capital finance; working capital in business finance; working capital finance south africa; types of working capital finance; working capital corporate finance; importance of working capital finance; working capital finance formula,UNREG-COMPANY,UNREGULATED for LIMITED-COMPANY borrowers (RAO Art 36A). COMPANY-GATE every form ('is your business a limited company?'). Fence off sole traders/<£25k. Multi-buyer panel OK. No IAR.,
business_finance,new business-finance hub / generalist,cluster,cluster,vat-loans,vat loan,480,610,16,business vat loan; what is a vat loan; vat loan facility; short term vat loan; vat loan definition; vat loan cost; commercial property vat loan; vat loan uk; vat loan interest; vat loan arrangement fee; vat loan calculator,UNREG-COMPANY,UNREGULATED for LIMITED-COMPANY borrowers (RAO Art 36A). COMPANY-GATE every form ('is your business a limited company?'). Fence off sole traders/<£25k. Multi-buyer panel OK. No IAR.,£82 CPC. Seasonal (quarter ends).
business_finance,new business-finance hub / generalist,cluster,cluster,secured-business-loans,secured business loan,480,210,1,unsecured business startup loan,UNREG-COMPANY,UNREGULATED for LIMITED-COMPANY borrowers (RAO Art 36A). COMPANY-GATE every form ('is your business a limited company?'). Fence off sole traders/<£25k. Multi-buyer panel OK. No IAR.,
business_finance,new business-finance hub / generalist,cluster,cluster,invoice-discounting,invoice discounting,0,130,8,invoice discount finance; invoice discounting finance; invoice discounting as a source of finance; supply chain finance vs invoice discounting; what is invoice discounting in finance; invoice discounting trade finance; market finance invoice discounting; difference between invoice discounting and supply chain finance,UNREG-COMPANY,UNREGULATED for LIMITED-COMPANY borrowers (RAO Art 36A). COMPANY-GATE every form ('is your business a limited company?'). Fence off sole traders/<£25k. Multi-buyer panel OK. No IAR.,CID.
business_finance,new business-finance hub / generalist,cluster,cluster,equipment-and-machinery-finance,equipment finance,0,80,8,finance lease rou asset; disposal of finance lease asset; asset equipment finance; right-of-use asset operating or finance lease; finance lease asset; is finance lease an asset; finance lease right of use asset; asset and equipment finance,UNREG-COMPANY,UNREGULATED for LIMITED-COMPANY borrowers (RAO Art 36A). COMPANY-GATE every form ('is your business a limited company?'). Fence off sole traders/<£25k. Multi-buyer panel OK. No IAR.,Overlaps trade/dental equipment finance.
business_finance,new business-finance hub / generalist,cluster,cluster,invoice-factoring,invoice factoring,1300,0,0,,UNREG-COMPANY,UNREGULATED for LIMITED-COMPANY borrowers (RAO Art 36A). COMPANY-GATE every form ('is your business a limited company?'). Fence off sole traders/<£25k. Multi-buyer panel OK. No IAR.,Factoring specifics + trailing commission.
