cluster,topic,primary,vol,action,internal_dupes
specialist_tax,capital-allowances-guide,capital allowances,2900,"EXTEND @ propertytaxpartners (ranks 'van capital allowances' 54i p23.3, 16q)",
specialist_tax,rd-tax-credits-guide,r&d tax credit,2400,NEW,
specialist_tax,land-remediation-relief-guide,land remediation relief,320,NEW,
specialist_tax,capital-allowances-on-cars-and-vehicles,capital allowances cars,1600,NEW,
specialist_tax,embedded-capital-allowances-commercial-property,embedded capital allowances,170,NEW,
specialist_tax,full-expensing-and-first-year-allowances,full expensing,0,NEW,
specialist_tax,how-to-claim-rd-tax-credits,how to claim r&d tax credits,0,NEW,
specialist_tax,capital-allowances-calculator,capital allowances calculator,10,NEW,
specialist_tax,annual-investment-allowance-aia,annual investment allowance,0,"EXTEND @ propertytaxpartners (ranks 'what is annual investment allowance' 61i p3, 12q)",
specialist_tax,rd-tax-credit-rates,r&d tax credit rates,70,NEW,
specialist_tax,structures-and-buildings-allowance-sba,structures and buildings allowance,0,NEW,
specialist_tax,capital-allowances-furnished-holiday-lets,capital allowances furnished holiday lets,210,NEW,
specialist_tax,rd-tax-credit-calculator,r&d tax credit calculator,140,NEW,
specialist_tax,capital-allowances-for-industrial-units,capital allowances industrial units,0,NEW,
specialist_tax,capital-allowances-for-hotels,capital allowances hotels,10,NEW,
specialist_tax,HOLD-tax-investigation-fee-protection-insurance,tax investigation insurance,0,NEW,
specialist_tax,capital-allowances-for-dental-practices,capital allowances dental practices,0,NEW,
specialist_tax,capital-allowances-for-care-homes,capital allowances care homes,0,NEW,
specialist_tax,capital-allowances-for-offices,capital allowances offices,0,NEW,
specialist_tax,capital-allowances-for-gp-surgeries,capital allowances gp surgeries,0,NEW,
specialist_tax,capital-allowances-for-hospitality,capital allowances hospitality,0,NEW,
specialist_tax,capital-allowances-for-pubs-and-restaurants,capital allowances pubs and restaurants,0,NEW,
specialist_tax,capital-allowances-for-student-accommodation,capital allowances student accommodation,0,NEW,
business_finance,business-loans-guide,business loan,27100,NEW,
business_finance,invoice-finance-guide,invoice finance,1900,NEW,
business_finance,asset-finance-guide,asset finance,1900,NEW,
business_finance,small-business-loans,small business loan,5400,NEW,
business_finance,business-loan-calculator,business loan calculator,2900,NEW,
business_finance,startup-business-loans,start up business loan,6600,NEW,
business_finance,merchant-cash-advance,merchant cash advance,1300,NEW,
business_finance,unsecured-business-loans,unsecured business loan,1600,NEW,
business_finance,working-capital-finance,working capital finance,70,NEW,
business_finance,vat-loans,vat loan,480,NEW,
business_finance,secured-business-loans,secured business loan,480,NEW,
business_finance,invoice-discounting,invoice discounting,0,NEW,
business_finance,equipment-and-machinery-finance,equipment finance,0,NEW,
business_finance,invoice-factoring,invoice factoring,1300,NEW,
business_finance,corporation-tax-loans,corporation tax loan,0,"EXTEND @ propertytaxpartners (ranks 'corporation tax uk' 9i p3, 3q)",
business_finance,asset-finance-calculator,asset finance calculator,210,NEW,
business_finance,invoice-finance-for-manufacturing,invoice finance for manufacturing,10,NEW,
business_finance,recovery-and-growth-guarantee-scheme,growth guarantee scheme,0,NEW,
business_finance,revolving-credit-facility,revolving credit facility,0,NEW,
business_finance,invoice-finance-for-recruitment-agencies,invoice finance for recruitment agencies,0,NEW,
business_finance,invoice-finance-for-construction,invoice finance for construction,10,NEW,
business_finance,invoice-finance-for-wholesale,invoice finance for wholesale,0,NEW,
business_finance,invoice-finance-for-haulage-and-transport,invoice finance for haulage and transport,0,NEW,
business_finance,invoice-finance-for-ecommerce,invoice finance for ecommerce,0,NEW,
business_finance,invoice-finance-for-dentists,invoice finance for dentists,0,NEW,
business_finance,invoice-finance-for-hospitality,invoice finance for hospitality,0,NEW,
business_finance,invoice-finance-for-cleaning-companies,invoice finance for cleaning companies,0,NEW,
business_finance,invoice-finance-for-security-firms,invoice finance for security firms,0,NEW,
exit_eot,employee-ownership-trust-guide,employee ownership trust,2400,NEW,
exit_eot,business-valuation-guide,business valuation,880,NEW,
exit_eot,sell-my-business-guide,sell my business,880,NEW,
exit_eot,business-exit-planning,business exit planning,390,NEW,
exit_eot,management-buyout-guide,management buyout,2400,NEW,
exit_eot,business-valuation-calculator,business valuation calculator,720,NEW,
exit_eot,eot-tax-relief-and-cgt,eot tax relief,0,NEW,
exit_eot,eot-pros-and-cons,eot advantages and disadvantages,0,NEW,
exit_eot,how-to-value-a-business,how to value a business,0,NEW,
exit_eot,how-to-set-up-an-eot,how to set up an eot,0,NEW,
exit_eot,selling-a-business-tax-cgt-badr,selling a business tax,0,NEW,
exit_eot,eot-tax-saving-calculator,eot tax calculator,0,NEW,
exit_eot,how-to-sell-a-manufacturing-business,sell a manufacturing business,0,NEW,
exit_eot,ROUTE-mbo-and-acquisition-finance,mbo finance,0,NEW,
