keyword,vol,sources,domains,bucket,detail
a band,1900,comp,1,excluded,EX-BRAND brand/ambiguous noise
accountant entertainment industry,110,comp,3,excluded,EX-OFFNICHE management/law/consulting/industry-definition
accountant for actors,90,comp,5,assigned,P-ACT
accountant for influencer,170,comp,5,assigned,P-CRE
accountant for influencers wimbledon,0,gsc,0,assigned,P-CRE
accountant for musicians,50,comp,5,assigned,P-MUS
accountants for actors,90,comp,5,assigned,P-ACT
accountants for content creators,70,comp,6,assigned,P-CRE
accountants for creatives,140,comp,6,assigned,P-ART
accountants for influencers,170,comp+pool,4,assigned,P-CRE
accountants for music industry,70,comp,6,assigned,P-MUS
accountants for musicians,50,comp,6,assigned,P-MUS
accounting for creatives,140,comp,5,assigned,P-ART
accounting for music industry,70,comp,5,assigned,P-MUS
accounting for musicians,50,comp,6,assigned,P-MUS
accounting for performers,0,gsc,0,assigned,P-ACT
accounting in entertainment,110,comp,3,assigned,P-ACT
accounting in entertainment industry,110,comp,3,excluded,EX-OFFNICHE management/law/consulting/industry-definition
accounting in music industry,70,comp,5,assigned,P-MUS
accounting in the music industry,70,comp,6,assigned,P-MUS
actor accountant,90,comp,1,assigned,P-ACT
actor tax,110,comp,3,assigned,P-ACT
actors accountant,90,comp,5,assigned,P-ACT
actors accountants,90,comp,5,assigned,P-ACT
actors tax,110,comp,3,assigned,P-ACT
actors taxes,110,comp,3,assigned,P-ACT
at music group,260,comp,1,excluded,EX-BRAND brand/ambiguous noise (weareband/at-music navigational)
average income of a photographer,110,comp,1,excluded,EX-CAREER earnings/career content
average photographer salary,110,comp,1,excluded,EX-CAREER earnings/career content
average salaries for photographers,110,comp,1,excluded,EX-CAREER earnings/career content
average salary of a photographer,110,comp,1,excluded,EX-CAREER earnings/career content
average salary photographer,90,comp,1,excluded,EX-CAREER earnings/career content
band,18100,comp,1,excluded,EX-BRAND brand/ambiguous noise
band 1,1000,comp,1,excluded,EX-BRAND brand/ambiguous noise (weareband/at-music navigational)
band advisory group,70,comp,1,excluded,EX-BRAND brand/ambiguous noise (weareband/at-music navigational)
