cluster,site,page_type,topic,primary_keyword,target_search_volume,cluster_volume_est,secondary_keywords,user_intent,content_tier,reg_flag,action,existing_ref,publish_priority,keyword_source,guardrail,notes
SPV/BTL mortgage,property,pillar,limited-company-buy-to-let-mortgages-guide,limited company buy to let mortgage,2400,5170,ltd company buy to let mortgage; spv buy to let mortgage; limited company buy to let mortgage rates,commercial,pillar,UNREG,NEW,,10,expansion-research-2026-07-30,Mortgage mechanics + eligibility only. Link to property's incorporation/tax pages for the tax decision; do NOT re-explain ltd-vs-personal tax here.,"Top-level SPV/ltd-co mortgage pillar. Cover: why lenders treat SPVs differently, SIC 68209, lender panel, rates, deposit/LTV, ICR stress test, day-one remortgage. Faceless; CTA = free landlord finance intro (accounting lead now, mortgage lead post-IAR)."
SPV/BTL mortgage,property,pillar,spv-mortgages-explained,spv mortgage,320,1300,spv company; spv for property; spv buy to let mortgage,commercial,pillar,UNREG,NEW,,8,expansion-research-2026-07-30,SPV *mortgage* angle. SPV *set-up/tax* cross-links to property; no duplicate SPV-tax page.,"What an SPV is for mortgage purposes, SIC codes lenders accept, newly-formed vs trading company lending, personal guarantees. Cross-link to ltd-co pillar + calculator."
SPV/BTL mortgage,property,pillar,portfolio-landlord-mortgages-guide,portfolio landlord mortgage,90,120,portfolio landlord remortgage; portfolio buy to let mortgage; portfolio landlord stress test,commercial,pillar,UNREG,NEW,"weakly: 'portfolio landlord tax planning' (property, pos 39)",8,expansion-research-2026-07-30,"Portfolio *mortgage/remortgage + lender stress-test* angle. Portfolio *tax planning* stays on property (already ranks) — cross-link, don't duplicate.","4+/10+/20+ property segments, portfolio ICR/stress testing, aggregation, refinancing a portfolio. High case value."
SPV/BTL mortgage,property,calculator,buy-to-let-mortgage-calculator,buy to let mortgage calculator,22200,88800,buy to let mortgage uk calculator; mortgage calculator btl; buy to let mortgage repayment calculator,transactional,pillar,UNREG,NEW,,10,expansion-research-2026-07-30,Pure calculator (borrowing/repayment) — not a promotion. Safe pre-IAR. Distinct from property's tax calculators.,"Interactive: loan amount, rate, term, interest-only vs repayment. Biggest single volume asset. Embeds estate-wide. Links to lenders + ltd-co pillar."
SPV/BTL mortgage,property,calculator,buy-to-let-rental-stress-test-calculator,buy to let stress test,20,20,buy to let ICR calculator; how much can i borrow buy to let; rental income calculator buy to let,transactional,cluster,UNREG,NEW,,8,expansion-research-2026-07-30,Lender ICR stress-test tool. Not a promotion. Safe pre-IAR.,ICR at 125%/145% x stress rate; ltd-co vs personal ICR difference. Strong link magnet + captures 'how much can I borrow'.
SPV/BTL mortgage,property,calculator,personal-vs-limited-company-btl-tax-calculator,limited company vs personal buy to let,0,10,section 24 calculator; should i buy property through a limited company,commercial,pillar,UNREG,SHARED-ASSET,property owns incorporation/Section-24 turf,7,expansion-research-2026-07-30,"RESOLVED: build ONCE as a property TAX asset (property tax brand already ranks incorporation/S24). Mortgage cluster LINKS to it, does not host a copy. Not counted as a mortgage-cluster build page.",Shared property-tax calculator. Feeds both the tax audience and the SPV mortgage decision journey via cross-link.
SPV/BTL mortgage,property,supporting,buy-to-let-mortgage-lenders,buy to let mortgage lenders,33100,33100,spv mortgage lenders; limited company buy to let lenders; portfolio mortgage lenders,commercial,cluster,UNREG,NEW,,9,expansion-research-2026-07-30,"Lender directory/education, not a recommendation of a specific product (s21). Factual list. Safe pre-IAR as education; product CTA post-IAR.","Highest-volume informational term (33k). Who lends to SPVs/portfolios, criteria table. Anchors the cluster internally."
SPV/BTL mortgage,property,supporting,buy-to-let-mortgage-rates,buy to let mortgage rates,9900,31000,buy to let fixed mortgage rates; buy to let mortgage interest rate; best buy to let mortgages,commercial,cluster,UNREG,NEW,,6,expansion-research-2026-07-30,"FRESHNESS BURDEN: rates page needs periodic refresh. Keep ranges/factors, not a live rate table, to limit maintenance. Education not promotion pre-IAR.","9.9k volume. Explain rate drivers (LTV, product/company type). Flag maintenance cost."
SPV/BTL mortgage,property,supporting,let-to-buy-mortgages,let to buy mortgage,1900,1900,let to buy; let to buy vs buy to let,commercial,cluster,UNREG,NEW,,6,expansion-research-2026-07-30,,"1.9k volume, distinct product. Owner-occupier converting to landlord — natural incorporation lead too."
SPV/BTL mortgage,property,supporting,hmo-mortgages,hmo mortgage,880,990,hmo buy to let mortgage; hmo limited company mortgage,commercial,cluster,UNREG,NEW,weakly: 'hmo landlord tax planning' (property),6,expansion-research-2026-07-30,HMO *mortgage* angle; HMO *tax* stays on property.,"880 volume. HMO lender criteria, article-4/licensing note, ltd-co HMO."
