keyword,vol,sources,domains,bucket,detail
hmrc solar panels,1900,comp,1,deferred,"DEF-SPLIT solar/EV (landlord=property, installer=construction-cis, row 85)"
cruise ship captain salary,880,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
cruise ship captain wages,880,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
cruise ship captains salary,880,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
cruise ship salary captain,880,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
how much do cruise ship captains earn,880,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
how much do cruise ship captains make,880,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
how much does a captain of a cruise ship make,880,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
how much does a cruise ship captain earn,880,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
how much does captain of cruise ship earn,880,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
how much does the captain of a cruise ship earn,880,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
salary for cruise ship captain,720,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
licence radio vhf marine,390,comp,1,excluded,EX-OFFNICHE licensing/medical/qualification/definition navigation
marine vhf licence,390,comp,1,excluded,EX-OFFNICHE licensing/medical/qualification/definition navigation
marine vhf radio license,390,comp,1,excluded,EX-OFFNICHE licensing/medical/qualification/definition navigation
working on a yacht,390,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
yachting stewardess,390,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
marine account,320,comp,1,excluded,EX-BRAND navigation (marineaccounts.com)
marine accounts,320,comp,1,excluded,EX-BRAND navigation (marineaccounts.com)
seafarers earnings deduction,260,comp,1,assigned,P-SED maritime hub
captain of a ship salary,210,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
captain yacht salary,210,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
marine vhf radio licence uk,210,comp,1,excluded,EX-OFFNICHE licensing/medical/qualification/definition navigation
maritime captain salary,210,comp,1,excluded,EX-CAREER earnings/how-to-become/jobs fleet (marineaccounts model; A* lead-intent bar)
