cluster,site,page_type,topic,primary_keyword,target_search_volume,cluster_volume_est,secondary_keywords,user_intent,content_tier,reg_flag,action,existing_ref,publish_priority,keyword_source,guardrail,notes
Dental practice finance,dentists,pillar,EXTEND: specialist-dental-finance (hub),dental practice finance,40,120,dental practice loan; specialist dental finance; dental practice funding,commercial,pillar,UNREG,EXTEND,dentists ranks 'specialist dental finance' pos 20,10,expansion-research-2026-07-30,Existing page already ranks — upgrade in place into the finance PILLAR/broker-intro hub. Do NOT mint a competing new URL.,Central hub linking all practice-finance pages. Add commercial-finance-broker intro CTA (unregulated). Faceless.
Dental practice finance,dentists,cluster,EXTEND: dental-practice-valuation,dental practice valuation,40,60,how much is my dental practice worth; dental practice valuation calculator; ebitda multiple dental,commercial,pillar,UNREG,EXTEND,dentists ranks 'dental practice valuation uk' pos 27 + 'worth [city]' x5,9,expansion-research-2026-07-30,Already ranking — extend with valuation-for-finance + optional valuation calculator. Keep the existing URL.,Add finance angle (valuation drives loan sizing) + broker intro. Possible calculator sub-asset.
Dental practice finance,dentists,cluster,EXTEND: goodwill-funding-practice-purchase,goodwill loan dental practice,0,70,goodwill funding practice purchase; dental goodwill finance; dental practice loan,commercial,cluster,UNREG,EXTEND,dentists ranks 'goodwill funding practice purchase' pos 11,9,expansion-research-2026-07-30,RESOLVED: this is the FINANCE money page (goodwill/loan intent). Keep its pos-11 URL. The 'how to buy a dental practice' pillar links DOWN to it. Distinct primary kw so no cannibalisation.,"Goodwill vs freehold, 100% lending, term, rate drivers. Cluster page under the buyer-journey pillar."
Dental practice finance,dentists,cluster,EXTEND: selling-a-dental-practice,selling a dental practice,90,100,sell my dental practice; best time to sell a dental practice; dental practice sale process,commercial,cluster,UNREG,EXTEND,dentists ranks 'selling a dental practice taxes [city]' nationwide,7,expansion-research-2026-07-30,Already ranking on the tax angle — add exit + buyer-finance angle. Keep URL. Tax content stays canonical.,Exit finance + how buyers fund the purchase (feeds purchase-finance leads).
Dental practice finance,dentists,cluster,dental-practice-commercial-mortgage,dental practice commercial mortgage,0,0,commercial mortgage dental practice; freehold dental practice mortgage; dental surgery commercial mortgage,commercial,cluster,UNREG,NEW,,7,expansion-research-2026-07-30,Business/commercial borrower = outside FCA scope. Keep strictly business-purpose (never residential).,Freehold premises finance. Distinct from goodwill. Rates/LTV/term for dental.
Dental practice finance,dentists,cluster,dental-equipment-and-chair-finance,dental equipment finance,20,30,dental chair finance; cbct scanner finance; dental equipment leasing; intraoral scanner finance,commercial,cluster,UNREG,NEW,,7,expansion-research-2026-07-30,Business asset finance = unregulated.,"HP vs lease vs finance-lease, tax treatment (AIA), equipment types."
Dental practice finance,dentists,cluster,squat-dental-practice-funding,squat dental practice finance,0,70,start a dental practice; how to open a dental practice; dental practice startup loan; setting up a dental practice cost,commercial,cluster,UNREG,NEW,,6,expansion-research-2026-07-30,,"Startup/squat funding, business plan, staged drawdown, CQC/NHS contract note."
Dental practice finance,dentists,cluster,refinancing-a-dental-practice-loan,dental practice refinance,10,20,refinance dental practice loan; dental practice loan interest rates; release equity dental practice,commercial,cluster,UNREG,NEW,,6,expansion-research-2026-07-30,,"When/why to refinance, equity release for expansion, rate review."
Dental practice finance,dentists,supporting,second-dental-practice-expansion-finance,second dental practice finance,0,0,dental practice expansion finance; buying a second dental practice; multi-site dental group finance,commercial,supporting,UNREG,NEW,,5,expansion-research-2026-07-30,,"Group/multi-site funding, cross-charge, higher case value."
Dental practice finance,dentists,supporting,dental-practice-working-capital-and-tax-loans,dental practice working capital,0,0,cash flow finance dental practice; vat loan dental practice; dental practice tax loan,commercial,supporting,UNREG,NEW,,5,expansion-research-2026-07-30,,Short-term/working-capital + tax/VAT funding. Cross-sell to dentist accounting lead.
Dental practice finance,dentists,supporting,100-percent-dental-practice-finance,100% dental practice finance,0,0,no deposit dental practice loan; how much can i borrow dental practice,commercial,supporting,UNREG,NEW,,6,expansion-research-2026-07-30,,"Why dentists get 100% lending (professional category), criteria. High-intent objection page."
Dental practice finance,dentists,pillar,how-to-buy-a-dental-practice,buy a dental practice,210,460,buying a dental practice; how to buy a dental practice; cost of buying a dental practice,commercial,pillar,UNREG,NEW,,8,expansion-research-2026-07-30,"RESOLVED: canonical buyer-JOURNEY pillar (valuation > offer > finance > completion), targets 'buy/buying a dental practice' (420/mo head). Links DOWN to the goodwill FINANCE page + valuation + commercial-mortgage. Distinct intent = no cannibalisation.",Top buyer-journey pillar. Broad informational-commercial; each stage links to its money page.
Dental practice finance,dentists,cluster,HOLD: dentist-residential-mortgages,dentist mortgage,110,230,mortgages for dentists; associate dentist mortgage; self employed dentist mortgage,commercial,cluster,REG-HOLD,NEW,,3,expansion-research-2026-07-30,REGULATED (regulated mortgage contract). Do NOT build lead capture pre-IAR. Map only.,110+110/mo. Hold until a mortgage-broker IAR is in place.
Dental practice finance,dentists,cluster,HOLD: dentist-income-protection-locum-insurance,dentist income protection,90,110,associate dentist income protection; dentist locum insurance; dental locum insurance,commercial,cluster,REG-HOLD,NEW,,3,expansion-research-2026-07-30,REGULATED (IDD insurance distribution). Do NOT build capture pre-IAR. Map only.,~130/mo. Hold until an insurance IAR is in place.
