cluster,site,page_type,tier,topic,primary_keyword,primary_volume,cluster_volume,n_keywords,secondary_keywords,reg_flag,guardrail,notes
specialist_tax,property/generalist (already pos-1) + specialist-tax hub,pillar,pillar,capital-allowances-guide,capital allowances,2900,35910,510,enhanced capital allowances; what are capital allowances; what is capital allowances; capital allowances uk; uk capital allowances; capital allowances 2001; capital allowances act 2001; capital allowances consultation; capital allowances consultants; capital allowances consultant; capital allowances meaning,UNREG,"Fully unregulated tax service (no s21/IAR). Route leads to SPECIALIST capital-allowances/R&D firms, not general accountants. EXCLUDE fee-protection/tax-investigation INSURANCE (IDD).","EXTEND property pos-1 page. Plant & machinery, integral features, pooling."
specialist_tax,property/generalist (already pos-1) + specialist-tax hub,pillar,pillar,rd-tax-credits-guide,r&d tax credit,2400,27060,748,tax research and development; research and development tax reliefs; tax relief on research and development; research and development tax relief; tax relief for research and development; research and development tax consultant; research and development tax credits uk; tax on research and development; research and development tax credit uk; research and development tax; uk research and development tax credits,UNREG,"Fully unregulated tax service (no s21/IAR). Route leads to SPECIALIST capital-allowances/R&D firms, not general accountants. EXCLUDE fee-protection/tax-investigation INSURANCE (IDD).",EXTEND property/generalist pos-1 R&D pages. Merged scheme 2024+.
specialist_tax,property/generalist (already pos-1) + specialist-tax hub,pillar,pillar,land-remediation-relief-guide,land remediation relief,320,580,56,land remediation tax relief; land remediation relief consultation; land remediation relief asbestos; land remediation relief hmrc manuals; remediation of contaminated land tax relief; land remediation relief examples; land remediation relief asbestos hmrc; land remediation relief calculation; land remediation relief hmrc guidance; land remediation relief corporation tax; land remediation relief abolished,UNREG,"Fully unregulated tax service (no s21/IAR). Route leads to SPECIALIST capital-allowances/R&D firms, not general accountants. EXCLUDE fee-protection/tax-investigation INSURANCE (IDD).",150%/50% relief; brownfield developers.
specialist_tax,property/generalist (already pos-1) + specialist-tax hub,cluster,cluster,capital-allowances-on-cars-and-vehicles,capital allowances cars,1600,18330,104,capital allowances motor cars; capital allowances on cars; capital allowances for cars; cars capital allowances; capital allowances and cars; car capital allowances; capital allowances vehicles; electric car capital allowances; capital allowances for electric cars; capital allowances on electric cars; electric cars capital allowances,UNREG,"Fully unregulated tax service (no s21/IAR). Route leads to SPECIALIST capital-allowances/R&D firms, not general accountants. EXCLUDE fee-protection/tax-investigation INSURANCE (IDD).","1,600/mo. CO2 bands, FYA electric."
specialist_tax,property/generalist (already pos-1) + specialist-tax hub,cluster,cluster,embedded-capital-allowances-commercial-property,embedded capital allowances,170,2620,23,integral features for capital allowances; capital allowances integral features; capital allowances on integral features; integral features capital allowances; integral feature capital allowances; commercial property capital allowances; capital allowances fixtures and fittings; fixtures and fittings capital allowances; capital allowances on fixtures and fittings; integral features capital allowances: rates; integral features capital allowances rates,UNREG,"Fully unregulated tax service (no s21/IAR). Route leads to SPECIALIST capital-allowances/R&D firms, not general accountants. EXCLUDE fee-protection/tax-investigation INSURANCE (IDD).",Fixtures claims on commercial property purchase. High value.
specialist_tax,property/generalist (already pos-1) + specialist-tax hub,cluster,cluster,full-expensing-and-first-year-allowances,full expensing,0,1160,20,full expensing capital allowances; capital allowances writing down allowance; super deduction capital allowances; fya capital allowances; capital allowances fya; capital allowances super deductions; first year allowance capital allowances; capital allowances first year allowance; first year allowances capital allowances; capital allowances full expensing; capital allowances super deduction; capital allowances: full expensing,UNREG,"Fully unregulated tax service (no s21/IAR). Route leads to SPECIALIST capital-allowances/R&D firms, not general accountants. EXCLUDE fee-protection/tax-investigation INSURANCE (IDD).","Full expensing (perm. from 2023), WDA rates."
specialist_tax,property/generalist (already pos-1) + specialist-tax hub,cluster,cluster,how-to-claim-rd-tax-credits,how to claim r&d tax credits,0,860,24,r&d tax credit claim; r&d tax credit claims; how to claim r&d tax credit; support a research and development r&d tax claim; r&d tax credit claim template for smes; r&d tax credit claim deadline; examples of r&d tax credit claims; example r&d tax credit claim; how much r&d tax credit can i claim; how to claim r&d tax credit on ct600; r&d tax credit processing time; r&d tax credit claim example,UNREG,"Fully unregulated tax service (no s21/IAR). Route leads to SPECIALIST capital-allowances/R&D firms, not general accountants. EXCLUDE fee-protection/tax-investigation INSURANCE (IDD).","Claim process, additional info form, CT600."
specialist_tax,property/generalist (already pos-1) + specialist-tax hub,calculator,cluster,capital-allowances-calculator,capital allowances calculator,10,430,11,capital allowances calculation; calculating capital allowances; how to calculate capital allowances; how to calculate capital allowances example; how to calculate capital allowances rental property; capital allowances calculation examples; how to calculate capital allowances uk; capital allowances calculation example; capital allowances calculator free; how are capital allowances calculated,UNREG,"Fully unregulated tax service (no s21/IAR). Route leads to SPECIALIST capital-allowances/R&D firms, not general accountants. EXCLUDE fee-protection/tax-investigation INSURANCE (IDD).",Tool. Estimate claim on a commercial property.
specialist_tax,property/generalist (already pos-1) + specialist-tax hub,cluster,cluster,annual-investment-allowance-aia,annual investment allowance,0,280,2,capital allowances aia; aia capital allowances,UNREG,"Fully unregulated tax service (no s21/IAR). Route leads to SPECIALIST capital-allowances/R&D firms, not general accountants. EXCLUDE fee-protection/tax-investigation INSURANCE (IDD).",AIA £1m limit.
specialist_tax,property/generalist (already pos-1) + specialist-tax hub,cluster,cluster,rd-tax-credit-rates,r&d tax credit rates,70,240,14,r&d tax credit rate; r&d tax credit percentage; what is the r&d tax credit rate; hmrc r&d tax credit rates; r&d tax credit rates 2021; r&d tax credit rates 2019; r&d tax credit rates 2017; sme r&d tax credit rates; r&d tax credit rates 2024; r&d tax credit rates 2018; r&d tax credit rates 2016,UNREG,"Fully unregulated tax service (no s21/IAR). Route leads to SPECIALIST capital-allowances/R&D firms, not general accountants. EXCLUDE fee-protection/tax-investigation INSURANCE (IDD).",Merged scheme 20% / ERIS. Refresh yearly.
