priority,cluster,slug,primary_keyword,intent,secondary_keywords,target_word_count,dental_anchor_terms,risk_tier,aff_overlap_risk
1,nhs-contracts,uda-value-explained-for-uk-dentists,uda value uk,informational,"uda rate,uda calculation,nhs contract uda",1800,"uda,nhs contract,dentist",low,none
1,nhs-contracts,how-uda-rates-vary-by-region-uk,uda rates regional variation,informational,"uda england,uda wales,uda northern ireland",1800,"uda,nhs dental,regional",low,none
1,nhs-contracts,gds-vs-pds-vs-ods-contracts-dentists,gds vs pds dental contract,comparison,"gds contract,pds contract,ods contract",1800,"nhs contract,gds,pds,ods",low,none
1,nhs-contracts,nhs-dental-contract-clawback-explained,nhs dental contract clawback,informational,"uda underperformance,nhs clawback,contract breach",1700,"nhs contract,clawback,dental",low,none
1,nhs-contracts,transferring-nhs-dental-contract-on-practice-sale,transferring nhs dental contract,how-to,"contract novation,nhs commissioning,practice sale",1800,"nhs contract,practice sale,dental",low,none
1,nhs-contracts,nhs-dental-contract-reform-2025-26,nhs dental contract reform,informational,"contract reform,band reform,nhs commissioning",1700,"nhs contract,reform,dental",low,none
1,nhs-contracts,managing-uda-shortfall-end-of-financial-year,uda shortfall management,how-to,"uda recovery,end of year nhs,clawback risk",1800,"uda,nhs dental,shortfall",low,none
1,nhs-contracts,scotland-statement-of-dental-remuneration-explained,scotland dental remuneration,informational,"sdr scotland,item of service,nhs dental scotland",1700,"nhs dental,scotland,dental",low,none
1,nhs-contracts,wales-nhs-dental-contract-reform-2026,wales nhs dental contract,informational,"welsh dental contract,wales reform,nhs dental wales",1700,"nhs contract,wales,dental",low,none
1,nhs-contracts,northern-ireland-health-service-dental-contract,northern ireland nhs dental,informational,"ni dental contract,hsc dental,health service contract",1700,"nhs dental,northern ireland",low,none
1,nhs-contracts,understanding-cdo-and-nhs-dental-commissioning,nhs dental commissioning,informational,"cdo,commissioning,nhs england",1600,"nhs dental,commissioning",low,none
1,nhs-contracts,band-1-band-2-band-3-uda-treatment-explained,band 1 band 2 band 3 dental,informational,"nhs treatment bands,uda bands,band 4",1700,"uda,nhs treatment,bands",low,none
1,nhs-contracts,how-to-read-your-nhs-dental-contract,nhs dental contract review,how-to,"contract terms,nhs contract review,commissioner",1700,"nhs contract,dental,review",low,none
1,nhs-contracts,nhs-pension-pensionable-pay-dentists,nhs pensionable pay dentists,informational,"pensionable pay,nhs pension dental,seniority pay",1700,"nhs pension,dental,pensionable",low,none
