unit_id,title,dominant_query,query_variants,volume,verdict,target_slug,dataset,angle
S1,How Many Buy-to-Let Limited Companies Are There in the UK?,how many buy to let limited companies,how many limited company landlords uk|how many property companies in the uk|how many spvs in the uk|number of property companies uk|how many landlords in the uk,0 (neighbours 140 / 110),NEW,how-many-buy-to-let-limited-companies-uk,total live stock + age profile,"Live count of property companies on the register today, split by SIC, against the 94,367 incorporated in the last 12 months. Stock, not flow."
S2,Monthly incorporation cadence and record month (hub section),how many new property companies are formed each month uk,property company incorporations uk|company incorporation statistics uk|when did buy to let incorporations peak|uk company formation statistics,0,EXTEND,/research/landlord-tax-index,monthly + annual incorporations by SIC,"Name the record month (2025-09, 6,632) and the latest settled month as an explicit Q&A block; the hub renders the series but never answers it in question form."
S3,Are Landlords Really Leaving? The Net Formation Data,landlords selling up,landlord exodus|landlords leaving the market|how many landlords are selling up|landlord exodus uk|are landlords leaving the uk market|buy to let decline,260 (+70 +50 +40 +40),NEW,landlord-exodus-net-formation-data,dissolutions + net formation monthly,Net formation month by month. The exodus genre runs on survey PR; this answers it with register data.
S4,"Property company dissolutions, how many close each year",how many property companies dissolved,company dissolutions uk statistics|companies house dissolution statistics|how many companies dissolved uk,0,FAQ-block,landlord-exodus-net-formation-data,dissolutions monthly,Same dataset and query family as S3; a separate page splits its own signal on day one.
S5,Where Property Companies Are Being Formed: The Regional Split,regional buy to let statistics uk,where do landlords buy property uk|property investment by region uk|landlords in london statistics|buy to let statistics scotland|landlords in scotland statistics|landlords in wales statistics,0 (all 16 regional variants null),NEW,property-company-formations-by-uk-region,"regional split, 12 ITL1, last 36 months, as shares","Each region's share of UK property-company formations and how the shares moved over 36 months. Shares never counts, survivorship caveat structural."
S6,Twelve per-region statistics pages,landlords in london statistics,how many landlords in scotland|buy to let statistics london|rental market statistics north west|landlords in birmingham statistics,0,KILL,,,"Checked not assumed: 16 region-qualified phrasings priced, every one null. Twelve thin pages off one survivorship-caveated table is the doorway pattern. Revisit only if S5 earns region-qualified GSC queries."
S7,How Long Do UK Property Companies Last?,how long do limited companies last,average age of a limited company uk|average age of a property company|how old are uk property companies,0,NEW,how-long-uk-property-companies-last,age profile by incorporation year + live stock,"Age profile of live property companies: share incorporated in the last three years, and the median vintage. Counters 'everyone is winding up' with the surviving cohort."
S8,What percentage of landlords use a limited company,what percentage of landlords use a limited company,what percentage of buy to lets are in limited companies|how many landlords have incorporated,0,KILL,,,"Numerator is ours, denominator (total UK landlords) is Hamptons' or the English Housing Survey's. Fails the lead-with-our-number rule. Answer as a caveated sentence inside S1."
S9,"Which SIC code property companies actually use, with counts",sic code 68209 companies,how many companies use sic code 68209|company incorporations by sic code|sic code 68100 companies|sic code 68100 vs 68209,0,EXTEND,sic-code-for-an-spv-property-company,monthly + annual incorporations by SIC,"Add the counts: how many chose 68209 vs 68100 vs 68320 last year. One data section plus a link to the hub, do not convert it into a statistics page."
S10,How many SPVs are there in the UK,how many spvs in the uk,spv statistics uk|how many property spvs uk,0,FAQ-block,spv-property-investment-special-purpose-vehicle-guide,total live stock,One FAQ answer plus a link to S1 on our best-ranking SPV asset (Bing 6.5-7.6). A second page here would attack it.
S11,UK private rented sector / buy-to-let market size,private rented sector statistics,uk rental market size|buy to let market size uk|how many rental properties in the uk|uk rental market statistics,10 (70 on rental-properties phrasing),KILL,,,"Index counts companies, not dwellings or tenancies. Every number would be ONS or MHCLG restated. Real volume, wrong asset."
